Latitude,Longitude,Time,Date,HDOP,Satellites,DeltaX,DeltaY
52.027444,0.7310467,203226.08,240626,2.95,5,0,0
52.027472,0.731065,203232.0,240626,1.11,7,-3.3972168,-1.2533344
52.02749,0.73106664,203234.0,240626,1.11,7,-1.6986084,-0.1143106
52.02749,0.7310467,203235.0,240626,1.11,7,0.0,1.3676447
52.02748,0.73103005,203236.0,240626,1.11,7,0.8493042,1.1390237
52.02748,0.731049968,203238.0,240626,1.18,7,0.0,-1.3635624
52.02748,0.731035,203241.0,240626,1.11,7,0.0,1.024713
52.02749,0.731049968,203243.0,240626,1.11,7,-0.8493042,-1.0247129
52.027516,0.7310516,203244.0,240626,1.11,7,-2.9725648,-0.11431053
52.02748,0.7310333,203247.0,240626,1.11,7,3.821869,1.2533342
52.02748,0.731075,203249.0,240626,1.11,7,0.0,-2.8536828
52.0275,0.7310733,203254.0,240626,1.11,7,-2.1232604,0.11431057
52.027508,0.7310367,203255.0,240626,1.18,7,-0.8493042,2.506667
52.02749,0.7310217,203256.0,240626,1.11,7,2.1232604,1.0287954
52.0275,0.7310367,203309.0,240626,1.18,7,-1.2739563,-1.0287951
52.027516,0.73103832,203320.0,240626,1.02,8,-1.6986084,-0.11022802
52.0275,0.73104168,203436.0,240626,0.92,9,1.6986084,-0.22862114
52.027508,0.7310617,203456.0,240626,0.92,9,-0.8493042,-1.3717265
52.027508,0.73108168,203458.0,240626,0.92,9,0.0,-1.3676441
52.027508,0.7311017,203500.0,240626,0.92,9,0.0,-1.3717265
52.0275,0.73112832,203502.0,240626,0.92,9,0.8493042,-1.8248866
52.0275,0.731151636,203504.0,240626,0.92,9,0.0,-1.5962654
52.0275,0.73117168,203506.0,240626,0.92,9,0.0,-1.3717269
52.0275,0.73119668,203509.0,240626,0.92,9,0.0,-1.710576
52.02749,0.7312084,203510.0,240626,0.92,9,1.2739563,-0.80425672
52.0275,0.7312216,203516.0,240626,0.92,9,-1.2739563,-0.9063195
52.0275,0.73125,203521.0,240626,0.92,9,0.0,-1.9432796
52.0275,0.73127668,203524.0,240626,0.92,9,0.0,-1.8248866
52.027508,0.7312983,203526.0,240626,0.92,9,-0.8493042,-1.4860371
52.027508,0.73132504,203528.0,240626,0.92,9,0.0,-1.8289688
52.027508,0.73135832,203530.0,240626,0.92,9,0.0,-2.2821284
52.027516,0.731385,203533.0,240626,0.92,9,-0.8493042,-1.82488616
52.027516,0.731405,203536.0,240626,0.92,9,0.0,-1.3717264
52.027508,0.731421636,203539.0,240626,0.92,9,0.8493042,-1.139023
52.027508,0.7314417,203551.0,240626,0.92,9,0.0,-1.3717265
52.027508,0.731461636,203553.0,240626,0.92,9,0.0,-1.3676441
52.027516,0.73147668,203554.0,240626,0.92,9,-0.8493042,-1.0287948
52.027524,0.7314967,203556.0,240626,0.92,9,-0.8493042,-1.3717262
52.027524,0.731515,203557.0,240626,0.92,9,0.0,-1.2533331
52.027524,0.7315333,203558.0,240626,0.92,9,0.0,-1.2533331
52.027524,0.731555,203559.0,240626,0.92,9,0.0,-1.4860366
52.027516,0.7315983,203601.0,240626,0.92,9,0.8493042,-2.9679914
52.027508,0.7316167,203602.0,240626,0.92,9,0.8493042,-1.257416
52.0275,0.731631636,203603.0,240626,0.92,9,0.8493042,-1.0247126
52.02749,0.73164168,203605.0,240626,0.92,9,1.2739563,-0.6858636
52.027464,0.73166492,203609.0,240626,0.92,9,2.5479126,-1.5962666
52.02745,0.731671636,203610.0,240626,0.92,9,1.6986084,-0.45724276
52.02745,0.731690036,203613.0,240626,0.92,9,0.0,-1.2615001
52.02743,0.73169832,203614.0,240626,1.02,8,2.1232604,-0.56747116
52.027424,0.73171336,203616.0,240626,0.92,9,0.8493042,-1.0287969
52.027416,0.731730036,203618.0,240626,0.92,9,0.8493042,-1.1431078
52.027416,0.7317566,203620.0,240626,0.92,9,0.0,-1.8208074
52.027424,0.73178664,203622.0,240626,0.92,9,-0.8493042,-2.0575938
52.027424,0.73181508,203624.0,240626,0.92,9,0.0,-1.94328308
52.027424,0.73183,203625.0,240626,0.92,9,0.0,-1.0247144
52.027424,0.731885,203628.0,240626,0.92,9,0.0,-3.7681728
52.027424,0.7319033,203629.0,240626,0.92,9,0.0,-1.253336
52.02743,0.73193496,203631.0,240626,0.92,9,-0.8493042,-2.1678214
52.02743,0.73197336,203633.0,240626,0.92,9,0.0,-2.6291468
52.027444,0.73200168,203635.0,240626,0.92,9,-1.2739563,-1.9391996
52.027444,0.732018368,203636.0,240626,0.92,9,0.0,-1.1431072
52.027444,0.7320334,203637.0,240626,0.92,9,0.0,-1.0287964
52.02745,0.7320616,203639.0,240626,0.92,9,-0.8493042,-1.9351166
52.02745,0.732080036,203640.0,240626,0.92,9,0.0,-1.2615001
52.02745,0.73213668,203643.0,240626,0.92,9,0.0,-3.8783984
52.02745,0.7321567,203644.0,240626,0.92,9,0.0,-1.3717283
52.02746,0.73217668,203645.0,240626,1.02,8,-0.8493042,-1.3676456
52.027464,0.73219997,203647.0,240626,0.92,9,-0.8493042,-1.5962666
52.02748,0.73223,203649.0,240626,0.92,9,-1.6986084,-2.057591
52.0275,0.7322517,203651.0,240626,0.92,9,-2.1232604,-1.4860374
52.027516,0.73227,203653.0,240626,0.92,9,-1.6986084,-1.2533333
52.027524,0.73229,203655.0,240626,0.92,9,-0.8493042,-1.3717262
52.027552,0.73231336,203658.0,240626,0.92,9,-3.3972168,-1.5962635
52.027564,0.7323167,203659.0,240626,0.92,9,-1.2739563,-0.2286208
52.027572,0.7323434,203702.0,240626,0.92,9,-0.8493042,-1.828966
52.027588,0.73235168,203703.0,240626,0.92,9,-1.6986084,-0.56746924
52.027596,0.7323667,203705.0,240626,0.92,9,-0.8493042,-1.028793
52.02761,0.73236835,203706.0,240626,0.92,9,-1.6986084,-0.11431028
52.027624,0.73237,203707.0,240626,0.92,9,-1.2739563,-0.11431026
52.027636,0.7323767,203709.0,240626,0.92,9,-1.6986084,-0.45724084
52.027652,0.7323817,203711.0,240626,0.92,9,-1.6986084,-0.34293056
52.027652,0.73236492,203715.0,240626,0.92,9,0.0,1.1471844
52.027644,0.73235008,203720.0,240626,0.92,9,0.8493042,1.0206268
52.027652,0.73233508,203735.0,240626,0.87,10,-0.8493042,1.0287917
52.027668,0.73234,203745.0,240626,0.88,10,-1.6986084,-0.3388479
52.027688,0.7323533,203751.0,240626,0.87,10,-2.1232604,-0.91448072
52.027696,0.73237,203754.0,240626,0.87,10,-0.8493042,-1.1431007
52.02771,0.73239832,203757.0,240626,0.87,10,-1.6986084,-1.93918816
